County,Winner,Point Margin
CRAWFORD,Trump,59.0
CUMBERLAND,Trump,25.0
MERCER,Trump,38.0
LEHIGH,Trump,0.4
TIOGA,Trump,66.0
MONROE,Trump,3.0
DELAWARE,Biden,24.0
PHILADELPHIA,Biden,61.0
CENTRE,Biden,4.0
GREENE,Trump,52.0
BLAIR,Trump,48.0
ERIE,Trump,0.4
BUCKS,Biden,2.0
BERKS,Trump,8.0
INDIANA,Trump,38.0
ALLEGHENY,Biden,19.0
WESTMORELAND,Trump,29.0
ARMSTRONG,Trump,56.0
CLARION,Trump,51.0
LUZERNE,Trump,15.0
CAMBRIA,Trump,37.0
BEAVER,Trump,18.0
LAWRENCE,Trump,30.0
YORK,Trump,25.0
LANCASTER,Trump,16.0
FRANKLIN,Trump,43.0
LEBANON,Trump,32.0
SCHUYLKILL,Trump,40.0
FAYETTE,Trump,34.0
WARREN,Trump,39.0
UNION,Trump,25.0
MONTOUR,Trump,21.0
MONTGOMERY,Biden,26.0
CHESTER,Biden,17.0
NORTHAMPTON,Biden,0.5
DAUPHIN,Biden,8.0
WASHINGTON,Trump,23.0
LACKAWANNA,Biden,8.0
BUTLER,Trump,33.0
LYCOMING,Trump,41.0
ADAMS,Trump,34.0
NORTHUMBERLAND,Trump,38.0
SOMERSET,Trump,56.0
CLEARFIELD,Trump,50.0
CARBON,Trump,32.0
PIKE,Trump,19.0
COLUMBIA,Trump,31.0
BRADFORD,Trump,45.0
WAYNE,Trump,33.0
BEDFORD,Trump,68.0
VENANGO,Trump,41.0
PERRY,Trump,51.0
HUNTINGDON,Trump,51.0
JEFFERSON,Trump,59.0
SUSQUEHANNA,Trump,41.0
MIFFLIN,Trump,56.0
MCKEAN,Trump,46.0
SNYDER,Trump,47.0
CLINTON,Trump,36.0
ELK,Trump,45.0
WYOMING,Trump,35.0
JUNIATA,Trump,61.0
POTTER,Trump,61.0
FULTON,Trump,72.0
SULLIVAN,Trump,48.0
FOREST,Trump,44.0
CAMERON,Trump,47.0
